accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,price_category
2,1,1,1,1,1,"52,35","4,77",2,"44,00","9,19",0,1,0,0,Low
3,1,1,1,1,1,"52,32","4,95",1,"2,00","6,92",0,1,0,0,Low
4,1,1,13,2,15,"52,41","5,00",2,"33,00","7,17",0,0,1,0,Low
2,1,2,1,1,1,"52,37","4,86",2,"12,00","2,85",0,1,0,0,Low
1,1,1,2,1,2,"52,36","4,91",1,"4,00","2,44",1,0,1,0,Low
4,1,1,91,1,103,"52,35","4,89",2,"12,00","3,12",1,1,0,0,Highest
2,1,1,1,1,1,"52,36","4,99",1,"0,00","6,72",0,0,1,0,Low
4,2,2,1,2,1,"52,36","4,86",5,"6,00","3,12",0,1,0,0,Low
2,1,0,1,1,1,"52,38","4,89",2,"18,00","0,71",1,0,1,0,Low
4,2,2,1,1,1,"52,36","4,90",3,"3,00","2,66",0,1,0,0,Mid-High
6,2,3,3,6,3,"52,37","4,90",5,"6,00","1,06",0,1,0,0,Mid-High
4,2,3,1,1,1,"52,36","4,92",4,"3,00","2,12",0,1,0,0,Mid-High
4,2,2,1,4,1,"52,35","4,89",1,"15,00","3,31",0,1,0,0,Mid-High
4,2,3,1,5,1,"52,35","4,87",3,"7,00","3,58",0,1,0,0,Mid-High
4,1,1,3,1,3,"52,36","4,91",3,"0,00","2,45",0,0,1,0,Mid-High
4,1,4,1,4,1,"52,36","4,92",2,"27,00","2,18",0,1,0,0,Mid-High
5,1,4,1,1,1,"52,37","4,91",2,"0,00","1,45",0,1,0,0,Highest
6,3,4,1,4,1,"52,38","4,88",3,"23,00","1,49",0,1,0,0,Mid-High
10,2,5,1,5,1,"52,36","4,87",3,"0,00","3,34",0,1,0,0,Highest
4,1,1,1,1,1,"52,37","4,89",2,"4,00","0,92",0,1,0,0,Highest
2,1,1,1,1,1,"52,36","4,86",3,"6,00","2,98",0,1,0,0,Low
2,1,1,45,1,47,"52,35","4,92",2,"8,00","3,24",1,1,0,0,Low
2,1,1,1,1,1,"52,38","4,85",15,"18,00","3,29",0,0,1,0,Low
4,1,2,1,1,1,"52,36","4,91",2,"15,00","2,38",0,1,0,0,Mid-High
2,1,1,1,1,1,"52,37","4,88",2,"2,00","1,38",0,1,0,0,Low
1,1,1,1,1,1,"52,36","4,94",1,"1,00","3,09",0,0,1,0,Low
2,1,1,1,1,1,"52,39","4,89",3,"1,00","1,11",1,1,0,0,Low
2,1,1,1,1,1,"52,36","5,00",2,"5,00","7,01",0,1,0,0,Low
2,1,1,1,1,1,"52,35","4,92",2,"12,00","3,06",0,0,1,0,Low
2,1,1,1,1,1,"52,35","5,01",2,"159,00","8,34",0,0,1,0,Low
3,1,1,1,2,1,"52,35","4,86",1,"2,00","4,23",0,1,0,0,Low
2,1,1,1,1,1,"52,37","4,87",2,"4,00","2,26",0,0,1,0,Low
4,1,2,1,1,1,"52,36","4,88",5,"9,00","2,21",0,1,0,0,Mid-High
2,1,1,1,1,1,"52,40","4,90",2,"1,00","1,91",0,1,0,0,Low
2,3,1,1,1,1,"52,41","4,90",3,"1,00","3,48",0,0,1,0,Low
3,2,1,1,2,1,"52,36","4,87",2,"1,00","2,84",0,1,0,0,Low
4,1,2,1,1,2,"52,37","4,92",6,"3,00","1,93",0,1,0,0,Mid-High
2,1,1,1,1,1,"52,34","4,91",5,"3,00","3,87",0,1,0,0,Low
2,1,1,1,1,1,"52,39","4,89",1,"5,00","0,99",0,1,0,0,Highest
1,1,1,2,2,2,"52,37","4,86",3,"105,00","2,84",1,0,1,0,Low
